label_text,label,comment_num,repost_num,like_num,CntWord,WordPerSentence,TitleLen,TitleCnt_Exclaimation,TitleCnt_Question,TextCnt_Exclaimation,TextCnt_Question
fake,1,2,1,0,329,329.0,0,0,0,1,0
fake,1,5,4,9,64,64.0,0,0,0,1,0
fake,1,4,0,22,77,38.5,0,0,0,0,0
fake,1,144,189,1869,69,34.5,0,0,0,2,0
fake,1,0,0,1,323,26.9,0,0,0,0,0
fake,1,37,26,235,38,38.0,0,0,0,0,0
fake,1,5,0,1,127,25.4,0,0,0,0,0
fake,1,13,2,27,48,48.0,0,0,0,1,0
fake,1,28,0,16,84,84.0,0,0,0,0,0
fake,1,193,70,439,163,81.5,0,0,0,0,0
fake,1,5,0,4,228,38.0,0,0,0,1,0
fake,1,0,1,72,50,50.0,0,0,0,0,0
fake,1,9,2,9,66,66.0,0,0,0,0,0
fake,1,0,0,0,141,35.3,0,0,0,2,0
fake,1,13,4,39,605,46.5,0,0,0,0,0
fake,1,1,0,3,43,43.0,0,0,0,0,0
fake,1,13,0,13,294,15.5,0,0,0,0,3
fake,1,38,8,40,267,53.4,0,0,0,0,0
fake,1,37,5,66,327,327.0,0,0,0,1,0
fake,1,2,0,18,64,64.0,0,0,0,0,0
fake,1,9,3,14,116,58.0,25,0,0,0,0
fake,1,0,0,0,601,46.2,9,0,0,0,0
fake,1,148,40,177,103,51.5,0,0,0,2,0
fake,1,4,0,2,89,89.0,0,0,0,0,0
fake,1,12,1,9,143,20.4,0,0,0,3,0
fake,1,50,4,91,284,56.8,9,0,0,0,0
fake,1,7110,27199,145108,532,40.9,0,0,0,0,0
fake,1,166,7,334,84,16.8,0,0,0,1,2
fake,1,106,60,565,269,24.5,22,0,1,2,4
fake,1,0,0,0,139,27.8,34,3,0,0,0
fake,1,4,33,473,55,55.0,0,0,0,1,0
fake,1,1,1,1,101,33.7,0,0,0,1,1
fake,1,0,0,4,85,85.0,0,0,0,0,0
fake,1,0,1,1,265,26.5,0,0,0,2,1
fake,1,10,4,10,100,33.3,0,0,0,0,0
fake,1,27,4,102,447,40.6,0,0,0,2,2
fake,1,15,9,13,83,83.0,0,0,0,0,0
fake,1,36,9,70,255,51.0,21,0,0,0,1
fake,1,0,0,0,71,71.0,0,0,0,0,0
fake,1,23,1,36,102,102.0,0,0,0,1,0
fake,1,198,102,812,44,44.0,0,0,0,0,0
fake,1,7,1,4,356,356.0,0,0,0,1,0
fake,1,70,41,522,101,50.5,0,0,0,1,0
fake,1,2,1,0,46,46.0,0,0,0,0,0
fake,1,889,605,20266,94,94.0,0,0,0,0,0
fake,1,13,2,49,50,50.0,0,0,0,0,0
fake,1,26,1,44,156,52.0,0,0,0,2,1
fake,1,31,23,103,64,32.0,0,0,0,1,0
fake,1,3,0,5,44,22.0,0,0,0,0,0
fake,1,4,0,8,114,22.8,0,0,0,2,0
fake,1,494,65,1389,159,39.8,0,0,0,0,0
fake,1,0,0,0,23,23.0,0,0,0,0,0
fake,1,1,0,2,304,30.4,0,0,0,1,1
fake,1,1,1,1,56,56.0,0,0,0,1,0
fake,1,3,0,3,87,29.0,0,0,0,2,0
fake,1,6,0,5,210,42.0,0,0,0,1,0
fake,1,0,0,0,182,22.8,0,0,0,4,2
fake,1,0,1,5,139,139.0,0,0,0,0,0
fake,1,0,0,0,41,20.5,0,0,0,0,1
fake,1,305,185,973,247,41.2,0,0,0,0,0
fake,1,35,15,187,156,31.2,0,0,0,1,1
fake,1,4,0,1,125,41.7,0,0,0,0,0
fake,1,9,2,10,272,38.9,26,0,0,2,0
fake,1,3,0,0,113,113.0,0,0,0,0,0
fake,1,29,13,137,49,24.5,0,0,0,1,0
fake,1,7,6,59,109,27.3,0,0,0,2,0
fake,1,0,1,2,63,21.0,0,0,0,3,0
fake,1,1,0,1,174,29.0,0,0,0,0,0
fake,1,16,1,21,206,51.5,0,0,0,1,0
fake,1,11,7,26,114,114.0,0,0,0,0,0
fake,1,52,37,412,63,63.0,0,0,0,0,0
fake,1,10,7,32,144,36.0,0,0,0,1,1
fake,1,1,0,2,163,40.8,8,0,0,2,0
fake,1,8,2,21,78,26.0,0,0,0,1,0
fake,1,0,0,0,67,67.0,0,0,0,0,0
fake,1,739,508,7145,99,49.5,0,0,0,2,0
fake,1,9,14,20,47,47.0,0,0,0,0,0
fake,1,2,47,651,79,79.0,0,0,0,1,0
fake,1,4,1,3,37,37.0,0,0,0,0,0
fake,1,1,0,1,37,12.3,0,0,0,0,0
fake,1,34,129,208,108,108.0,0,0,0,0,0
fake,1,22,20,29,247,41.2,0,0,0,0,0
fake,1,0,0,0,344,344.0,0,0,0,1,0
fake,1,0,0,0,46,46.0,0,0,0,0,0
fake,1,185,315,456,187,20.8,0,0,0,4,3
fake,1,12,7,155,248,41.3,0,0,0,1,0
fake,1,14,3,18,100,50.0,21,1,0,0,0
fake,1,39,17,401,105,26.3,0,0,0,3,1
fake,1,2,7,27,119,23.8,0,0,0,0,0
fake,1,7224,1627,38090,93,23.3,0,0,0,3,0
fake,1,7,0,13,26,26.0,0,0,0,0,0
fake,1,3,1,4,142,142.0,0,0,0,0,0
fake,1,4,1,1,73,73.0,0,0,0,0,0
fake,1,2,0,0,316,316.0,0,0,0,1,0
fake,1,23,14,53,58,14.5,0,0,0,2,2
fake,1,3,0,3,358,358.0,0,0,0,1,0
fake,1,22,36,57,46,46.0,0,0,0,0,0
fake,1,72,41,174,470,42.7,0,0,0,3,0
fake,1,6,3,1,596,42.6,0,0,0,2,0
fake,1,25,1,14,142,35.5,0,0,0,0,0
fake,1,8,1,1,102,102.0,0,0,0,0,0
fake,1,1499,447,25838,77,25.7,0,0,0,2,0
fake,1,148,113,215,72,36.0,0,0,0,0,1
fake,1,2,3,32,57,57.0,0,0,0,0,0
fake,1,778,478,6991,171,171.0,0,0,0,0,0
fake,1,2,0,1,184,36.8,0,0,0,3,0
fake,1,51,16,149,69,69.0,0,0,0,0,0
fake,1,4,0,0,196,49.0,0,0,0,0,0
fake,1,0,0,1,190,63.3,0,0,0,0,0
fake,1,9,0,4,126,63.0,8,0,0,0,0
fake,1,0,0,0,196,32.7,0,0,0,2,2
fake,1,1,1,3,94,23.5,34,0,0,0,4
fake,1,6,236,33,85,85.0,0,0,0,0,0
fake,1,5,2,9,46,46.0,0,0,0,0,0
fake,1,0,0,10,62,62.0,0,0,0,0,0
fake,1,32,1,133,17,17.0,0,0,0,0,0
fake,1,163,91,530,40,40.0,0,0,0,0,0
fake,1,299,31,2202,61,30.5,0,0,0,0,0
fake,1,42,0,32,122,61.0,0,0,0,2,0
fake,1,20,3,13,197,39.4,12,0,1,2,0
fake,1,286,84,1261,240,17.1,0,0,0,13,1
fake,1,0,0,4,47,47.0,0,0,0,0,0
fake,1,25,4,93,57,28.5,0,0,0,2,0
fake,1,7,0,12,25,25.0,0,0,0,0,0
fake,1,4,0,2,66,22.0,0,0,0,0,3
fake,1,6,0,6,214,53.5,0,0,0,2,0
fake,1,1,0,1,468,234.0,0,0,0,2,0
fake,1,38,3,82,284,56.8,9,0,0,0,0
fake,1,15,3,27,223,27.9,0,0,0,2,0
fake,1,3853,12855,102379,349,58.2,0,0,0,0,2
fake,1,8,2,15,125,25.0,0,0,0,2,0
fake,1,386,1157,2941,111,55.5,0,0,0,1,0
fake,1,21,0,57,108,21.6,0,0,0,2,0
fake,1,1,0,2,62,31.0,0,0,0,1,1
fake,1,11,3,5,15,15.0,0,0,0,0,0
fake,1,6,4,39,100,50.0,0,0,0,0,0
fake,1,5,3,21,105,21.0,0,0,0,0,2
fake,1,1392,297,8245,38,38.0,0,0,0,0,0
fake,1,1,1,14,287,31.9,0,0,0,0,0
fake,1,24,7,55,75,12.5,0,0,0,2,4
fake,1,86,243,2173,347,173.5,103,2,0,0,0
fake,1,324,312,5947,393,49.1,0,0,0,4,0
fake,1,684,101,4833,210,42.0,0,0,0,0,3
fake,1,44,46,376,120,12.0,0,0,0,3,7
fake,1,8,0,2,73,73.0,0,0,0,0,0
fake,1,16,12,51,59,29.5,0,0,0,1,0
fake,1,14,7,49,70,70.0,0,0,0,1,0
fake,1,12,2,7,27,27.0,0,0,0,0,0
fake,1,38,41,291,258,36.9,0,0,0,0,1
fake,1,0,0,2,102,51.0,0,0,0,0,0
fake,1,101,9,1449,41,20.5,0,0,0,2,0
fake,1,30,63,734,47,47.0,0,0,0,0,0
fake,1,13,0,5,103,103.0,0,0,0,0,0
fake,1,551,491,4812,96,48.0,0,0,0,0,0
fake,1,2,0,3,81,81.0,0,0,0,0,0
fake,1,13,17,11,826,35.9,0,0,0,5,0
fake,1,1,0,1,488,34.9,0,0,0,1,0
fake,1,1,0,1,37,37.0,0,0,0,0,0
fake,1,20,16,8,80,40.0,0,0,0,1,0
fake,1,18,40,134,43,21.5,0,0,0,2,0
fake,1,2,0,1,51,17.0,0,0,0,2,0
fake,1,0,1,2,113,37.7,29,1,0,0,0
fake,1,11,1,29,97,19.4,0,0,0,1,0
fake,1,16,5,15,2309,49.1,0,0,0,3,5
fake,1,4,6,20,95,23.8,0,0,0,0,0
fake,1,2,0,0,316,316.0,0,0,0,1,0
fake,1,20,3,50,43,43.0,0,0,0,0,0
fake,1,90,66,342,71,71.0,0,0,0,0,0
fake,1,157,219,375,288,22.2,0,0,0,8,5
fake,1,139,50,409,44,44.0,0,0,0,0,0
fake,1,4,0,13,81,27.0,0,0,0,0,0
fake,1,6,2,4,33,33.0,0,0,0,0,1
fake,1,30,9,33,222,111.0,0,0,0,0,0
fake,1,113,34,349,61,61.0,0,0,0,0,0
fake,1,9,0,4,63,12.6,0,0,0,1,0
fake,1,1,1,7,251,35.9,0,0,0,0,1
fake,1,58,12,88,359,51.3,0,0,0,0,0
fake,1,1,3,36,84,28.0,0,0,0,3,0
fake,1,96,8,1271,88,88.0,0,0,0,0,0
fake,1,49,122,394,337,112.3,16,0,0,1,0
fake,1,2,10,87,78,78.0,0,0,0,0,0
fake,1,0,1,2,55,55.0,0,0,0,0,1
fake,1,17,0,21,332,41.5,5,0,0,0,0
fake,1,22,11,45,39,39.0,0,0,0,0,0
fake,1,60,10,109,84,14.0,0,0,0,6,0
fake,1,2,0,0,390,55.7,0,0,0,1,1
fake,1,0,0,4,83,83.0,0,0,0,0,0
fake,1,4,1,5,106,21.2,0,0,0,3,0
fake,1,937,202,5464,247,41.2,0,0,0,1,1
fake,1,0,1,3,68,68.0,0,0,0,0,0
fake,1,1,0,2,240,34.3,0,0,0,0,1
fake,1,7,0,13,36,36.0,0,0,0,0,0
fake,1,107,151,457,81,27.0,0,0,0,3,0
fake,1,5,5,16,74,74.0,0,0,0,0,0
fake,1,48,10,181,86,86.0,0,0,0,0,0
fake,1,12,0,5,75,25.0,0,0,0,2,0
fake,1,1,0,3,80,26.7,0,0,0,0,0
fake,1,11,1,2,32,32.0,0,0,0,0,0
fake,1,1,1,0,67,67.0,31,0,0,0,0
fake,1,97,9,91,246,41.0,0,0,0,4,0
fake,1,7,1,18,143,47.7,0,0,0,0,0
fake,1,217,50,821,53,53.0,0,0,0,0,0
fake,1,235,152,522,55,55.0,0,0,0,0,0
fake,1,17,38,83,53,53.0,0,0,0,0,0
fake,1,2,3,46,110,55.0,0,0,0,2,0
fake,1,4,3,19,73,73.0,0,0,0,0,0
fake,1,1,0,2,104,104.0,0,0,0,0,0
fake,1,1,0,1,69,69.0,0,0,0,0,0
fake,1,15,45,52,64,64.0,0,0,0,0,0
fake,1,1,0,17,69,17.3,0,0,0,4,0
fake,1,26,14,90,70,70.0,0,0,0,0,0
fake,1,1,0,2,69,34.5,0,0,0,1,1
fake,1,138,73,800,56,28.0,0,0,0,2,0
fake,1,19,17,65,115,57.5,0,0,0,1,0
fake,1,8,5,15,144,48.0,0,0,0,0,0
fake,1,30,4,205,22,22.0,0,0,0,0,0
fake,1,5,0,9,54,54.0,0,0,0,0,0
fake,1,2,1,1,61,61.0,0,0,0,0,0
fake,1,6,2,12,105,52.5,0,0,0,1,0
fake,1,4,2,7,82,82.0,0,0,0,0,0
fake,1,458,1057,3091,166,41.5,22,0,1,0,1
fake,1,16,0,19,111,37.0,0,0,0,0,0
fake,1,23,6,18,71,71.0,0,0,0,0,0
fake,1,2,2,0,60,60.0,0,0,0,0,0
fake,1,47,18,66,118,23.6,0,0,0,2,1
fake,1,0,0,0,335,167.5,0,0,0,1,0
fake,1,12,0,1,240,30.0,0,0,0,6,0
fake,1,131,86,634,217,24.1,0,0,0,2,0
fake,1,3,0,0,80,20.0,0,0,0,2,2
fake,1,5,1,1,313,44.7,0,0,0,5,0
fake,1,10,2,15,156,10.4,0,0,0,1,0
fake,1,14,5,20,319,53.2,0,0,0,0,1
fake,1,129,318,1461,62,31.0,0,0,0,1,1
fake,1,1,0,1,245,35.0,0,0,0,0,1
fake,1,150,135,534,136,34.0,0,0,0,0,2
fake,1,17,1,13,105,35.0,0,0,0,0,0
fake,1,18,2,30,103,51.5,0,0,0,0,0
fake,1,0,4,2,28,14.0,0,0,0,0,0
fake,1,1,0,1,135,33.8,0,0,0,1,0
fake,1,0,0,0,109,54.5,0,0,0,0,0
fake,1,0,0,0,60,30.0,0,0,0,1,1
fake,1,3,4,28,78,39.0,0,0,0,2,0
fake,1,16,2,23,73,73.0,0,0,0,0,0
fake,1,16,0,9,218,54.5,0,0,0,0,0
fake,1,4,1,27,32,32.0,0,0,0,0,0
fake,1,0,0,0,312,52.0,0,0,0,0,0
fake,1,88,36,45,503,62.9,0,0,0,0,0
fake,1,16,6,67,92,92.0,0,0,0,0,0
fake,1,158,80,408,136,68.0,0,0,0,1,0
fake,1,11,35,108,41,41.0,0,0,0,1,0
fake,1,0,0,0,112,37.3,29,1,0,0,0
fake,1,15,5,26,61,61.0,0,0,0,1,0
fake,1,11,0,13,408,45.3,0,0,0,2,1
fake,1,0,0,0,193,38.6,0,0,0,3,0
fake,1,45,6,79,80,80.0,0,0,0,0,0
fake,1,12,0,4,336,336.0,0,0,0,1,0
fake,1,6,5,5,62,62.0,0,0,0,1,0
fake,1,4,0,15,77,25.7,0,0,0,2,0
fake,1,2,0,1,57,57.0,0,0,0,0,0
fake,1,0,0,0,325,325.0,0,0,0,1,0
fake,1,75,146,1397,27,27.0,0,0,0,0,0
fake,1,21,1,82,89,44.5,0,0,0,0,0
fake,1,0,0,0,65,32.5,0,0,0,1,1
fake,1,22,2,23,110,55.0,8,0,0,0,0
fake,1,59,3,126,69,69.0,0,0,0,0,0
fake,1,0,0,2,47,47.0,0,0,0,0,1
fake,1,0,0,0,51,51.0,0,0,0,0,0
fake,1,3,7,145,61,30.5,0,0,0,0,0
fake,1,1,2,2,70,35.0,0,0,0,0,1
fake,1,32,14,182,82,82.0,0,0,0,0,0
fake,1,1,0,5,66,33.0,0,0,0,1,0
fake,1,11,7,24,77,77.0,0,0,0,0,0
fake,1,23,0,26,287,31.9,0,0,0,0,0
fake,1,0,1,2,53,53.0,0,0,0,0,0
fake,1,1,0,1,46,46.0,0,0,0,0,0
fake,1,0,1,4,120,40.0,7,0,0,0,0
fake,1,29,2,6,358,358.0,0,0,0,1,0
fake,1,0,0,0,201,40.2,0,0,0,3,0
fake,1,191,379,974,699,38.8,0,0,0,0,2
fake,1,47,17,2748,148,74.0,0,0,0,1,0
fake,1,65,30,178,210,70.0,28,0,0,0,0
fake,1,89,8,181,78,39.0,0,0,0,2,0
fake,1,219,305,857,109,109.0,11,0,0,0,0
fake,1,10,0,23,98,98.0,0,0,0,0,0
fake,1,19,0,12,30,30.0,0,0,0,1,0
fake,1,902,434,2102,209,69.7,0,0,0,0,0
fake,1,3,1,16,169,33.8,0,0,0,5,0
fake,1,2,0,2,89,44.5,0,0,0,0,0
fake,1,102,55,564,66,66.0,0,0,0,1,0
fake,1,11,4,16,72,72.0,0,0,0,0,0
fake,1,42,157,139,66,66.0,0,0,0,0,0
fake,1,34,15,159,64,64.0,0,0,0,0,0
fake,1,0,0,1,54,27.0,0,0,0,1,1
fake,1,1,1,5,32,32.0,0,0,0,0,0
